data,model,measure,estimate,lower,upper
clinical_only,simple_model,RMSE,3.9439,2.6565,7.6072
clinical_only,simple_model,c-index,0.8403,0.7897,0.8815
clinical_only,simple_model,LPS5,-0.6364,-0.0191,-2.6363
clinical_only,simple_model,LPS2,-0.2413,-0.0096,-2.2413
genes,pls_model,RMSE,5.6042,0.9276,10.254
genes,pls_model,c-index,0.8521,0.8018,0.8952
genes,pls_model,LPS5,-0.7137,-0.0409,-2.0599
genes,pls_model,LPS2,-1.091,-0.073,-3.3577
genes,spls_model,RMSE,2.9293,0.8291,6.4283
genes,spls_model,c-index,0.863,0.8157,0.9054
genes,spls_model,LPS5,-0.6471,-0.0042,-1.9555
genes,spls_model,LPS2,-1.0874,-0.0871,-3.1912
genes,lasso_model,RMSE,4.9493,1.286,11.0235
genes,lasso_model,c-index,0.8492,0.7994,0.8939
genes,lasso_model,LPS5,-0.701,-0.026,-2.6982
genes,lasso_model,LPS2,-0.7801,-0.0326,-4.029
genes,elnet_model,RMSE,6.5293,1.4356,14.2345
genes,elnet_model,c-index,0.851,0.7986,0.8967
genes,elnet_model,LPS5,-0.7478,-0.0342,-2.5216
genes,elnet_model,LPS2,-0.7856,-0.0294,-3.8082
transcripts,pls_model,RMSE,2.5121,0.8848,5.613
transcripts,pls_model,c-index,0.8534,0.8102,0.8946
transcripts,pls_model,LPS5,-0.632,-0.0239,-1.9334
transcripts,pls_model,LPS2,-0.8934,-0.0452,-3.3318
transcripts,spls_model,RMSE,1.9154,1.188,3.4563
transcripts,spls_model,c-index,0.8523,0.8065,0.8972
transcripts,spls_model,LPS5,-0.926,-0.0471,-2.3748
transcripts,spls_model,LPS2,-2.7738,-0.6633,-6.1889
transcripts,lasso_model,RMSE,3.3683,1.9827,6.5821
transcripts,lasso_model,c-index,0.863,0.8176,0.9013
transcripts,lasso_model,LPS5,-1.4605,-0.1949,-4.1597
transcripts,lasso_model,LPS2,-1.3163,-0.0366,-5.8511
transcripts,elnet_model,RMSE,2.8198,1.6562,5.6358
transcripts,elnet_model,c-index,0.8108,0.7564,0.86
transcripts,elnet_model,LPS5,-0.8979,-0.0603,-2.6951
transcripts,elnet_model,LPS2,-1.0918,-0.0427,-4.4823
introns,pls_model,RMSE,1.524,0.9756,2.8475
introns,pls_model,c-index,0.8526,0.8074,0.8954
introns,pls_model,LPS5,-0.4568,-0.024,-1.7181
introns,pls_model,LPS2,-0.9073,-0.0496,-3.201
introns,spls_model,RMSE,3.8897,2.8908,6.4155
introns,spls_model,c-index,0.7999,0.7341,0.8632
introns,spls_model,LPS5,-0.1938,-0.0125,-1.4972
introns,spls_model,LPS2,-1.5742,-0.092,-5.1381
introns,lasso_model,RMSE,2.4864,1.7068,4.6546
introns,lasso_model,c-index,0.8475,0.805,0.8892
introns,lasso_model,LPS5,-1.6375,-0.2529,-4.1773
introns,lasso_model,LPS2,-0.8633,-0.03,-4.0302
introns,elnet_model,RMSE,2.3686,1.613,4.4423
introns,elnet_model,c-index,0.8535,0.8135,0.8915
introns,elnet_model,LPS5,-1.9217,-0.4404,-4.9548
introns,elnet_model,LPS2,-1.7703,-0.1022,-6.0479
transcripts_introns,pls_model,RMSE,2.2721,0.8854,4.9865
transcripts_introns,pls_model,c-index,0.8567,0.8136,0.8968
transcripts_introns,pls_model,LPS5,-0.91,-0.0492,-2.5852
transcripts_introns,pls_model,LPS2,-1.0349,-0.0738,-3.3079
transcripts_introns,spls_model,RMSE,1.5178,1.2307,2.5986
transcripts_introns,spls_model,c-index,0.8403,0.7871,0.8887
transcripts_introns,spls_model,LPS5,-0.2052,-0.0152,-1.6614
transcripts_introns,spls_model,LPS2,-2.8835,-0.6847,-6.6894
transcripts_introns,lasso_model,RMSE,3.3371,1.66,6.8672
transcripts_introns,lasso_model,c-index,0.8571,0.8109,0.8967
transcripts_introns,lasso_model,LPS5,-1.0345,-0.0588,-3.1551
transcripts_introns,lasso_model,LPS2,-1.4462,-0.0619,-6.0239
transcripts_introns,elnet_model,RMSE,2.4186,1.6097,4.4362
transcripts_introns,elnet_model,c-index,0.8586,0.8128,0.8984
transcripts_introns,elnet_model,LPS5,-1.0811,-0.0847,-3.5353
transcripts_introns,elnet_model,LPS2,-2.0428,-0.1781,-7.0559
ensemble,ensemble,RMSE,3.1385,1.4793,6.6435
ensemble,ensemble,c-index,0.8508,0.8061,0.8951
ensemble,ensemble,LPS5,-0.4122,-0.0135,-1.9772
ensemble,ensemble,LPS2,-1.7927,-0.0964,-6.2745
