Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa01130:Biosynthesis of antibiotics	12	4.958677685950414	0.0026348397331905507	SDHA, ACAA2, ODC1, HMGCR, ATIC, FDPS, HMGCS1, AK2, PDHA1, PSAT1, ACAT2, HADH	135	212	6910	2.89727463312369	0.4534746577440685	0.4534746577440685	3.3235930275811953
KEGG_PATHWAY	hsa04931:Insulin resistance	8	3.3057851239669422	0.004839894032773824	CRTC2, PPARA, PRKCZ, TNF, PTPRF, MGEA5, PRKCD, PIK3R1	135	108	6910	3.7914951989026062	0.6707791684573241	0.42622231522768694	6.02645067624824
KEGG_PATHWAY	hsa00900:Terpenoid backbone biosynthesis	4	1.6528925619834711	0.008385238575595689	HMGCR, FDPS, HMGCS1, ACAT2	135	22	6910	9.306397306397306	0.8546071185689619	0.4741671493635051	10.226504853174633
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	7	2.8925619834710745	0.011666609263304983	EIF4E, HIF1A, CAMK2G, MAPK3, PDHA1, PIK3R1, ARNT	135	98	6910	3.656084656084656	0.9319396436074079	0.48923214799722126	13.958932486588903
KEGG_PATHWAY	hsa00280:Valine, leucine and isoleucine degradation	5	2.066115702479339	0.012662300498780121	ACAA2, MCCC1, HMGCS1, ACAT2, HADH	135	47	6910	5.4452324665090615	0.9459681449963419	0.4421338945437394	15.062870548872887
KEGG_PATHWAY	hsa04930:Type II diabetes mellitus	5	2.066115702479339	0.01361049538328405	PRKCZ, TNF, MAPK3, PRKCD, PIK3R1	135	48	6910	5.3317901234567895	0.9566395917465194	0.4072809389875255	16.101995541783186
KEGG_PATHWAY	hsa01212:Fatty acid metabolism	5	2.066115702479339	0.01361049538328405	ACADVL, ACAA2, ACAT2, HADH, TECR	135	48	6910	5.3317901234567895	0.9566395917465194	0.4072809389875255	16.101995541783186
KEGG_PATHWAY	hsa00480:Glutathione metabolism	5	2.066115702479339	0.016721888136750164	GSTM1, GSTM2, ODC1, GSTM4, RRM1	135	51	6910	5.018155410312272	0.9789675859775043	0.4240129333904259	19.430003187056442
KEGG_PATHWAY	hsa05230:Central carbon metabolism in cancer	5	2.066115702479339	0.0351195667375374	RET, HIF1A, MAPK3, PDHA1, PIK3R1	135	64	6910	3.9988425925925926	0.9997217524315363	0.6406199852048187	36.74683514805661
KEGG_PATHWAY	hsa05214:Glioma	5	2.066115702479339	0.0368789595897864	CAMK2G, MAPK3, SHC3, CDK4, PIK3R1	135	65	6910	3.937321937321937	0.9998168025747806	0.6156128875767672	38.208676635140606
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	9	3.71900826446281	0.04015113995495265	TNF, ARHGEF1, HIF1A, ERBB3, CAMK2G, MMP9, MAPK3, PIK3R1, TWIST1	135	200	6910	2.3033333333333332	0.9999159663093404	0.6087581140094342	40.84494237113855
KEGG_PATHWAY	hsa05219:Bladder cancer	4	1.6528925619834711	0.0445168399515409	MMP9, MAPK3, CDK4, DAPK1	135	41	6910	4.993676603432701	0.9999704147309664	0.6124929635075071	44.20086467961983
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	9	3.71900826446281	0.045348872760624326	CDK1, KAT2B, HNRNPK, MAPK3, SKP2, CDK4, CCNA2, YWHAE, PIK3R1	135	205	6910	2.2471544715447154	0.9999757655068068	0.5875517215959133	44.8201811528803
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	6	2.479338842975207	0.04931584210227773	TNF, FYN, MAPK3, CD4, CDK4, PIK3R1	135	103	6910	2.981661272923409	0.9999906609470567	0.5897012269484783	47.68676990740642
KEGG_PATHWAY	hsa00071:Fatty acid degradation	4	1.6528925619834711	0.05306293436656777	ACADVL, ACAA2, ACAT2, HADH	135	44	6910	4.653198653198653	0.9999962196184198	0.5900969809485352	50.26776066799733
KEGG_PATHWAY	hsa04668:TNF signaling pathway	6	2.479338842975207	0.05457206173961397	TNF, CCL2, RIPK1, MMP9, MAPK3, PIK3R1	135	106	6910	2.89727463312369	0.999997376319679	0.5754514181404773	51.27367134535128
KEGG_PATHWAY	hsa00230:Purine metabolism	8	3.3057851239669422	0.054577105658595915	ATIC, NT5C2, PRIM2, RRM1, AK2, ADCY10, GMPS, POLR2A	135	176	6910	2.3265993265993266	0.9999973795231586	0.5521333024761141	51.277001693300214
KEGG_PATHWAY	hsa01200:Carbon metabolism	6	2.479338842975207	0.06805564063284271	SDHA, MTHFR, GLUD1, PDHA1, PSAT1, ACAT2	135	113	6910	2.7177974434611607	0.999999902207318	0.613040886166575	59.46409960956274
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	6	2.479338842975207	0.08323036674056736	CAMK2G, MAPK3, SHC3, PRKCD, YWHAE, PIK3R1	135	120	6910	2.5592592592592593	0.9999999977218084	0.6689709366174876	67.15291348321396
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	6	2.479338842975207	0.08323036674056736	PRKCZ, TNF, FYN, MAPK3, SMPD1, PIK3R1	135	120	6910	2.5592592592592593	0.9999999977218084	0.6689709366174876	67.15291348321396
KEGG_PATHWAY	hsa00062:Fatty acid elongation	3	1.2396694214876034	0.08381133267231963	ACAA2, HADH, TECR	135	25	6910	6.142222222222223	0.9999999980296397	0.6518084780184474	67.41859573559805
KEGG_PATHWAY	hsa04914:Progesterone-mediated oocyte maturation	5	2.066115702479339	0.0881138913872076	CCNB1, CDK1, MAPK3, CCNA2, PIK3R1	135	87	6910	2.9416773094934014	0.9999999993295022	0.6522077755413638	69.32538990173012
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	5	2.066115702479339	0.0881138913872076	ERBB3, CAMK2G, MAPK3, SHC3, PIK3R1	135	87	6910	2.9416773094934014	0.9999999993295022	0.6522077755413638	69.32538990173012
KEGG_PATHWAY	hsa04110:Cell cycle	6	2.479338842975207	0.09264517023515008	CCNB1, CDK1, SKP2, CDK4, CCNA2, YWHAE	135	124	6910	2.4767025089605736	0.9999999997857264	0.6536063425639902	71.22190220964937
KEGG_PATHWAY	hsa00650:Butanoate metabolism	3	1.2396694214876034	0.09566721599387583	HMGCS1, ACAT2, HADH	135	27	6910	5.68724279835391	0.9999999999001897	0.6489111422814353	72.42600075398842
KEGG_PATHWAY	hsa01100:Metabolic pathways	31	12.8099173553719	0.09954383143612591	HMGCR, GLUD1, HMGCS1, ATP6V1B2, ACAT2, POLR2A, ST3GAL3, MTHFR, ATIC, MCCC1, PRIM2, NT5C2, PAFAH1B1, PDHA1, RPN2, HADH, PLD3, ODC1, ACAA2, FDPS, AK2, GMPS, SDHA, ACADVL, GANC, RRM1, SMPD1, DPM1, ATP6V0A1, PSAT1, GALNT9	135	1228	6910	1.2921341536976716	0.999999999962681	0.6479489342001493	73.90259194858744
