Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	26	7.492795389048991	4.235478045209662E-5	HSP90AB1, ADCY1, MMP9, CUL2, PLCB4, CASP9, PLEKHG5, PRKACB, TPR, EGF, PIK3R1, MSH6, RET, CTBP1, BRAF, MSH2, SKP2, ITGA3, STAT1, CDK4, DAPK1, GNB1, NTRK1, MAPK3, PTCH1, MTOR	186	393	6910	2.4577963829379734	0.010365401738904323	0.010365401738904323	0.054869378615540754
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	11	3.170028818443804	9.928722832633614E-5	BRAF, ERBB3, PAK4, CAMK2G, MAPK3, ELK1, MTOR, EGF, SHC3, PIK3R1, SRC	186	87	6910	4.697194413545915	0.024129973275814676	0.01213866017330889	0.12857992699260024
KEGG_PATHWAY	hsa05219:Bladder cancer	7	2.0172910662824206	6.998172307619397E-4	BRAF, MMP9, MAPK3, EGF, CDK4, SRC, DAPK1	186	41	6910	6.342774718069761	0.15820208999466823	0.05578850989972384	0.903037703666032
KEGG_PATHWAY	hsa05214:Glioma	8	2.3054755043227666	0.0016507132154641674	BRAF, CAMK2G, MAPK3, MTOR, EGF, SHC3, CDK4, PIK3R1	186	65	6910	4.572373862696444	0.3339636146991959	0.09661164346446349	2.1180080162608084
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	14	4.034582132564841	0.002651747473707718	BRAF, ERBB3, MMP9, CAMK2G, ELK1, PDCD4, SRC, CD44, MAPK3, PTCH1, PRKACB, MTOR, GPC1, PIK3R1	186	200	6910	2.600537634408602	0.47962018347841995	0.12246572408102474	3.3821763796229587
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	13	3.7463976945244957	0.0041140853719541124	ADCY1, BRAF, STAT1, SRC, PLCB4, ARRB1, GNB1, MAPK3, PRKACB, XCL1, SHC3, XCL2, PIK3R1	186	186	6910	2.5965429529425363	0.6372903365865319	0.15551257361759974	5.20184447574743
KEGG_PATHWAY	hsa04750:Inflammatory mediator regulation of TRP channels	9	2.5936599423631126	0.004576096622266088	ADCY1, PLCB4, TRPV1, CAMK2G, NTRK1, PLA2G6, PRKACB, PIK3R1, SRC	186	98	6910	3.4117840684660963	0.6764182056559976	0.14886641926469413	5.770142529612965
KEGG_PATHWAY	hsa04915:Estrogen signaling pathway	9	2.5936599423631126	0.0048672138173640085	HSP90AB1, ADCY1, PLCB4, MMP9, MAPK3, PRKACB, SHC3, PIK3R1, SRC	186	99	6910	3.3773216031280544	0.6988834651932423	0.1393197734645154	6.126615541656144
KEGG_PATHWAY	hsa05216:Thyroid cancer	5	1.440922190201729	0.006995902903768651	RET, BRAF, NTRK1, MAPK3, TPR	186	29	6910	6.405265109380794	0.8221901016122896	0.17460512030781328	8.695618925672
KEGG_PATHWAY	hsa05212:Pancreatic cancer	7	2.0172910662824206	0.00757354684123412	BRAF, CASP9, MAPK3, EGF, STAT1, CDK4, PIK3R1	186	65	6910	4.000827129859388	0.8459046106908286	0.1705714802197048	9.381467847758296
