Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"MYCN","V-Myc Avian Myelocytomatosis Viral Oncogene Neuroblastoma Derived Homolog","Protein Coding","65","GC02P015946","61.14","/cgi-bin/carddisp.pl?gene=MYCN"
"ALK","Anaplastic Lymphoma Receptor Tyrosine Kinase","Protein Coding","76","GC02M029156","51.52","/cgi-bin/carddisp.pl?gene=ALK"
"PHOX2B","Paired Like Homeobox 2b","Protein Coding","61","GC04M041746","35.97","/cgi-bin/carddisp.pl?gene=PHOX2B"
"NME1","NME/NM23 Nucleoside Diphosphate Kinase 1","Protein Coding","67","GC17P051154","35.17","/cgi-bin/carddisp.pl?gene=NME1"
"TP73","Tumor Protein P73","Protein Coding","66","GC01P003652","31.09","/cgi-bin/carddisp.pl?gene=TP73"
"ASCL1","Achaete-Scute Family BHLH Transcription Factor 1","Protein Coding","63","GC12P102957","30.48","/cgi-bin/carddisp.pl?gene=ASCL1"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","73","GC11M027654","28.42","/cgi-bin/carddisp.pl?gene=BDNF"
"NBL1","Neuroblastoma 1, DAN Family BMP Antagonist","Protein Coding","54","GC01P019640","26.58","/cgi-bin/carddisp.pl?gene=NBL1"
"KIF1B","Kinesin Family Member 1B","Protein Coding","62","GC01P010270","25.93","/cgi-bin/carddisp.pl?gene=KIF1B"
"LIN28B","Lin-28 Homolog B","Protein Coding","58","GC06P104950","25.63","/cgi-bin/carddisp.pl?gene=LIN28B"
"TOP2A","Topoisomerase (DNA) II Alpha","Protein Coding","73","GC17M040388","25.13","/cgi-bin/carddisp.pl?gene=TOP2A"
"NBAS","Neuroblastoma Amplified Sequence","Protein Coding","55","GC02M015224","24.86","/cgi-bin/carddisp.pl?gene=NBAS"
"HACE1","HECT Domain And Ankyrin Repeat Containing E3 Ubiquitin Protein Ligase 1","Protein Coding","55","GC06M104728","24.73","/cgi-bin/carddisp.pl?gene=HACE1"
"NBPF1","Neuroblastoma Breakpoint Family Member 1","Protein Coding","41","GC01M016562","24.59","/cgi-bin/carddisp.pl?gene=NBPF1"
"NRAS","Neuroblastoma RAS Viral Oncogene Homolog","Protein Coding","72","GC01M114704","23.72","/cgi-bin/carddisp.pl?gene=NRAS"
"NBPF15","Neuroblastoma Breakpoint Family Member 15","Protein Coding","41","GC01M144421","23.52","/cgi-bin/carddisp.pl?gene=NBPF15"
"NBPF3","Neuroblastoma Breakpoint Family Member 3","Protein Coding","47","GC01P021440","23.5","/cgi-bin/carddisp.pl?gene=NBPF3"
"NBPF8","Neuroblastoma Breakpoint Family Member 8","Protein Coding","35","GC01P120417","22.85","/cgi-bin/carddisp.pl?gene=NBPF8"
"RERE","Arginine-Glutamic Acid Dipeptide Repeats","Protein Coding","57","GC01M008412","22.42","/cgi-bin/carddisp.pl?gene=RERE"
"NBPF6","Neuroblastoma Breakpoint Family Member 6","Protein Coding","39","GC01P108376","22.2","/cgi-bin/carddisp.pl?gene=NBPF6"
"NBPF4","Neuroblastoma Breakpoint Family Member 4","Protein Coding","38","GC01M108223","22.2","/cgi-bin/carddisp.pl?gene=NBPF4"
"LMO1","LIM Domain Only 1","Protein Coding","60","GC11M008245","21.82","/cgi-bin/carddisp.pl?gene=LMO1"
"NBPF14","Neuroblastoma Breakpoint Family Member 14","Protein Coding","40","GC01M148531","21.61","/cgi-bin/carddisp.pl?gene=NBPF14"
"NBPF9","Neuroblastoma Breakpoint Family Member 9","Protein Coding","32","GC01M149055","21.38","/cgi-bin/carddisp.pl?gene=NBPF9"
"NBPF10","Neuroblastoma Breakpoint Family Member 10","Protein Coding","37","GC01M146064","20.63","/cgi-bin/carddisp.pl?gene=NBPF10"
"NBPF11","Neuroblastoma Breakpoint Family Member 11","Protein Coding","38","GC01M148102","20.24","/cgi-bin/carddisp.pl?gene=NBPF11"
"NBPF12","Neuroblastoma Breakpoint Family Member 12","Protein Coding","34","GC01P146938","20.08","/cgi-bin/carddisp.pl?gene=NBPF12"
"NBPF20","Neuroblastoma Breakpoint Family Member 20","Protein Coding","32","GC01M145289","20.08","/cgi-bin/carddisp.pl?gene=NBPF20"
"MYCNOS","MYCN Opposite Strand","RNA Gene","28","GC02M015931","19.45","/cgi-bin/carddisp.pl?gene=MYCNOS"
"NBPF22P","Neuroblastoma Breakpoint Family Member 22, Pseudogene","Pseudogene","21","GC05P086282","18.73","/cgi-bin/carddisp.pl?gene=NBPF22P"
"NBPF7","Neuroblastoma Breakpoint Family Member 7","Protein Coding","33","GC01M119834","18.66","/cgi-bin/carddisp.pl?gene=NBPF7"
"NBPF17P","Neuroblastoma Breakpoint Family Member 17, Pseudogene","Pseudogene","12","GC01M143595","18.35","/cgi-bin/carddisp.pl?gene=NBPF17P"
"NBPF19","Neuroblastoma Breakpoint Family Member 19","Protein Coding","18","GC01P149475","17.33","/cgi-bin/carddisp.pl?gene=NBPF19"
"NBPF26","Neuroblastoma Breakpoint Family Member 26","Protein Coding","17","GC01P120804","17.33","/cgi-bin/carddisp.pl?gene=NBPF26"
